Opportunity_id,date,open,high,low,close,is_last_candle_of_found_pattern,is_buy_opportunity,is_sell_opportunity,succeeded,date_Buy,return_Buy,date_Sell,return_Sell,market,model,pair_name,entry_period,min_points,tolerance_points,profit_ratio,chosen_candle_date,chosen_candle_open,chosen_candle_high,chosen_candle_low,chosen_candle_close
Opportunity-17,2013-07-30,1.3262,1.3296,1.3237,1.3263,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-18,2013-08-19,1.3334,1.3372,1.3315,1.3335,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-19,2013-10-01,1.3521,1.3585,1.3517,1.3522,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-20,2014-08-14,1.3362,1.3406,1.3348,1.3363,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-21,2015-03-03,1.11792,1.12175,1.1152,1.11801,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-22,2016-05-23,1.12163,1.12429,1.1185,1.12164,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-23,2016-06-06,1.13561,1.13928,1.1326,1.1355,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-24,2016-09-28,1.12165,1.1237,1.1179,1.12168,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-25,2016-10-05,1.12052,1.12333,1.1187,1.12065,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-26,2016-10-19,1.09787,1.10049,1.0952,1.09782,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-27,2017-12-04,1.18691,1.188,1.1828,1.18679,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-28,2018-07-04,1.16596,1.16818,1.1628,1.1659,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-29,2018-07-09,1.17499,1.17908,1.1731,1.17491,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-30,2018-07-19,1.16435,1.16785,1.1574,1.1644,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-31,2019-02-15,1.12942,1.13062,1.1233,1.1294,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-32,2019-02-28,1.1372,1.14197,1.1357,1.13709,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-33,2019-05-15,1.12072,1.12247,1.1176,1.1206,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-34,2019-08-01,1.1079,1.10961,1.1025,1.10781,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-35,2019-08-07,1.11982,1.12419,1.1179,1.11985,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-36,2019-09-05,1.10355,1.10848,1.10166,1.10343,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-37,2020-01-01,1.12208,1.12284,1.11595,1.12208,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-38,2020-06-08,1.1293,1.13198,1.12682,1.12939,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-39,2020-12-25,1.21847,1.2213,1.2167,1.21847,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-40,2021-11-17,1.132,1.13322,1.12634,1.13193,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-41,2024-01-11,1.09724,1.09994,1.09302,1.0972,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-42,2024-04-05,1.08368,1.08479,1.07913,1.0836,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-43,2024-08-18,1.1025,1.10726,1.10239,1.1025,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-44,2024-08-25,1.11879,1.12011,1.11529,1.11879,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-45,2024-09-08,1.10872,1.10914,1.1035,1.10872,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-46,2024-09-15,1.10884,1.11354,1.10871,1.10884,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-47,2024-09-20,1.11614,1.11818,1.1136,1.11601,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-48,2024-09-22,1.11608,1.11682,1.10849,1.11608,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-1,2005-01-28,1.3035,1.3079,1.2982,1.3036,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-1,2005-02-02,1.305,1.3093,1.3006,1.3023,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-1,2005-02-03,1.3039,1.3042,1.2937,1.297,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-2,2005-01-31,1.3033,1.3058,1.297,1.3033,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-2,2005-02-02,1.305,1.3093,1.3006,1.3023,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-2,2005-02-03,1.3039,1.3042,1.2937,1.297,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-04,1.1916,1.195,1.1897,1.1916,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-06,1.1985,1.2207,1.1985,1.2179,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-07,1.2179,1.2182,1.209,1.2122,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-10,1.2122,1.2153,1.2037,1.2066,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-27,1.2053,1.2174,1.2039,1.2137,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-28,1.2137,1.2172,1.2048,1.2062,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-10-31,1.2062,1.2091,1.1966,1.1992,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-3,2005-11-02,1.2017,1.2084,1.1985,1.2073,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-04,1.5572,1.563,1.5555,1.5573,1,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-05,1.5572,1.5575,1.5447,1.545,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-06,1.545,1.5515,1.5398,1.5413,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-07,1.5413,1.5502,1.5309,1.5324,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-11,1.4968,1.5082,1.488,1.4892,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-13,1.4914,1.4978,1.4841,1.4922,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-14,1.4921,1.4948,1.4777,1.4801,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-21,1.4742,1.4908,1.4731,1.4896,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-22,1.4896,1.4899,1.4757,1.479,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-25,1.4788,1.4807,1.4696,1.4752,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-28,1.4714,1.4808,1.4671,1.4697,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-29,1.4693,1.4766,1.464,1.4671,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-09-01,1.4686,1.4717,1.4581,1.4588,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-4,2008-09-02,1.4616,1.4616,1.4466,1.4516,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-18,1.4323,1.4542,1.4279,1.4323,1,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-22,1.4466,1.4867,1.4438,1.4797,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-23,1.4798,1.4827,1.4623,1.4668,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-25,1.4613,1.4768,1.4561,1.4615,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-26,1.4619,1.4678,1.4555,1.4601,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-29,1.4612,1.4636,1.4303,1.4414,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-30,1.4416,1.4426,1.4008,1.4115,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-10-01,1.4114,1.4174,1.3976,1.4006,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-10-02,1.4008,1.4025,1.3747,1.38,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-10-03,1.3798,1.3907,1.3704,1.3782,0,0,1,1,,,,,,,,,,,,,,,,
Opportunity-5,2008-10-09,1.363,1.3786,1.3581,1.3596,0,0,1,1,,,,,,,,,,,,,,,,
